# Parameters for CFA in order red, green, blue
# -35.0077	-44.1774	22.9231	20.9813	4.04281	-7.25622
# 25.6259	-16.6805	-39.6175	2.0237	16.2731	-4.55676
# 37.3915	32.2064	-50	-49.0131	25.8976	-3.4397
# Lambda	Red	Green	Blue
638	0.101131	0.0158552	0.00213167
639	0.0962663	0.0153525	0.00209993
640	0.0915408	0.0148689	0.00206906
641	0.0869634	0.0144034	0.00203904
642	0.0825407	0.0139553	0.00200985
643	0.0782776	0.013524	0.00198145
644	0.0741778	0.0131086	0.00195384
645	0.0702433	0.0127086	0.00192697
646	0.0664751	0.0123234	0.00190085
647	0.0628728	0.0119522	0.00187544
648	0.059435	0.0115945	0.00185073
649	0.0561596	0.0112499	0.00182669
650	0.0530435	0.0109176	0.00180332
651	0.0500831	0.0105973	0.00178058
652	0.047274	0.0102885	0.00175848
653	0.0446116	0.00999063	0.00173698
654	0.042091	0.00970331	0.00171608
655	0.0397068	0.00942611	0.00169576
656	0.0374535	0.00915862	0.00167601
657	0.0353256	0.00890046	0.0016568
658	0.0333176	0.00865126	0.00163814
659	0.0314238	0.00841066	0.00162
660	0.0296386	0.00817832	0.00160238
661	0.0279566	0.00795392	0.00158526
662	0.0263725	0.00773714	0.00156863
663	0.0248811	0.0075277	0.00155248
664	0.0234773	0.0073253	0.0015368
665	0.0221563	0.00712967	0.00152158
666	0.0209135	0.00694056	0.00150682
667	0.0197443	0.00675771	0.00149249
668	0.0186445	0.00658088	0.0014786
669	0.0176101	0.00640985	0.00146513
670	0.0166371	0.0062444	0.00145207
671	0.0157219	0.00608432	0.00143943
672	0.014861	0.0059294	0.00142718
673	0.0140511	0.00577945	0.00141534
674	0.0132892	0.00563429	0.00140387
675	0.0125723	0.00549374	0.00139279
676	0.0118976	0.00535763	0.00138209
677	0.0112626	0.00522581	0.00137175
678	0.0106648	0.0050981	0.00136178
679	0.0101019	0.00497437	0.00135217
680	0.0095717	0.00485447	0.00134291
681	0.00907229	0.00473826	0.001334
682	0.00860172	0.00462561	0.00132544
683	0.00815821	0.00451639	0.00131721
684	0.0077401	0.00441048	0.00130933
685	0.00734582	0.00430777	0.00130178
686	0.00697392	0.00420813	0.00129456
687	0.00662301	0.00411148	0.00128768
688	0.00629183	0.00401769	0.00128111
689	0.00597917	0.00392667	0.00127488
690	0.00568391	0.00383833	0.00126896
691	0.00540498	0.00375257	0.00126337
692	0.00514141	0.00366931	0.00125809
693	0.00489228	0.00358846	0.00125313
694	0.00465671	0.00350994	0.00124849
695	0.0044339	0.00343367	0.00124417
696	0.0042231	0.00335957	0.00124017
697	0.00402358	0.00328758	0.00123648
698	0.00383469	0.00321762	0.00123311
699	0.00365581	0.00314962	0.00123006
700	0.00348635	0.00308353	0.00122733
701	0.00332575	0.00301927	0.00122492
702	0.00317352	0.00295679	0.00122284
703	0.00302917	0.00289604	0.00122108
704	0.00289225	0.00283695	0.00121965
705	0.00276233	0.00277947	0.00121855
706	0.00263902	0.00272355	0.00121779
707	0.00252194	0.00266915	0.00121736
708	0.00241075	0.0026162	0.00121728
709	0.00230511	0.00256468	0.00121754
710	0.00220473	0.00251452	0.00121816
711	0.0021093	0.0024657	0.00121914
712	0.00201856	0.00241816	0.00122048
713	0.00193225	0.00237188	0.0012222
714	0.00185013	0.0023268	0.00122429
715	0.00177197	0.0022829	0.00122677
716	0.00169756	0.00224013	0.00122965
717	0.0016267	0.00219847	0.00123293
718	0.0015592	0.00215788	0.00123663
719	0.00149488	0.00211832	0.00124075
720	0.00143358	0.00207977	0.00124531
721	0.00137514	0.0020422	0.00125033
722	0.0013194	0.00200558	0.0012558
723	0.00126623	0.00196987	0.00126176
724	0.0012155	0.00193506	0.0012682
725	0.00116708	0.00190111	0.00127516
726	0.00112086	0.00186801	0.00128265
727	0.00107671	0.00183572	0.00129068
728	0.00103454	0.00180423	0.00129928
729	0.000994257	0.00177351	0.00130847
730	0.000955753	0.00174353	0.00131827
731	0.000918946	0.00171429	0.0013287
732	0.000883752	0.00168575	0.00133981
733	0.000850091	0.0016579	0.0013516
734	0.000817888	0.00163071	0.00136412
735	0.000787074	0.00160418	0.0013774
736	0.000757581	0.00157828	0.00139147
737	0.000729345	0.00155299	0.00140638
738	0.000702306	0.0015283	0.00142216
739	0.000676408	0.00150419	0.00143885
740	0.000651596	0.00148064	0.00145652
741	0.00062782	0.00145765	0.0014752
742	0.000605031	0.00143519	0.00149496
743	0.000583183	0.00141325	0.00151586
744	0.000562233	0.00139182	0.00153796
745	0.000542139	0.00137088	0.00156133
746	0.000522861	0.00135042	0.00158606
747	0.000504364	0.00133043	0.00161222
748	0.000486611	0.0013109	0.00163991
749	0.000469569	0.00129181	0.00166923
750	0.000453205	0.00127315	0.00170029
751	0.00043749	0.00125491	0.00173321
752	0.000422395	0.00123709	0.00176811
753	0.000407892	0.00121966	0.00180514
754	0.000393956	0.00120263	0.00184447
755	0.000380561	0.00118597	0.00188625
756	0.000367683	0.00116969	0.00193068
757	0.000355301	0.00115377	0.00197798
758	0.000343394	0.0011382	0.00202838
759	0.000331939	0.00112297	0.00208212
760	0.000320919	0.00110808	0.00213951
761	0.000310315	0.00109351	0.00220086
762	0.00030011	0.00107927	0.00226653
763	0.000290285	0.00106534	0.00233692
